"Index","EURUSD.Open","EURUSD.High","EURUSD.Low","EURUSD.Close","EURUSD.Volume","EURUSD.Adjusted"
2004-02-09,1.2585,1.2763,1.2575,1.2681,NA,NA
2004-02-10,1.2682,1.2789,1.2675,1.2704,NA,NA
2004-02-11,1.2704,1.2838,1.265,1.2807,NA,NA
2004-02-12,1.2809,1.2847,1.2788,1.2823,NA,NA
2004-02-13,1.2823,1.2896,1.2717,1.2735,NA,NA
2004-02-16,1.2743,1.2789,1.2719,1.2773,NA,NA
2004-02-17,1.2774,1.2877,1.276,1.2854,NA,NA
2004-02-18,1.2854,1.2928,1.2776,1.2788,NA,NA
2004-02-19,1.2788,1.279,1.2647,1.2708,NA,NA
2004-02-20,1.2708,1.2768,1.2497,1.2537,NA,NA
2004-02-23,1.2533,1.2596,1.2451,1.2578,NA,NA
2004-02-24,1.2578,1.2708,1.2522,1.269,NA,NA
2004-02-25,1.269,1.2714,1.2476,1.2499,NA,NA
2004-02-26,1.2499,1.2515,1.2383,1.2447,NA,NA
2004-02-27,1.2447,1.2501,1.2373,1.2493,NA,NA
2004-03-01,1.2502,1.2542,1.2427,1.2444,NA,NA
2004-03-02,1.2444,1.247,1.2197,1.2208,NA,NA
2004-03-03,1.2208,1.2231,1.2058,1.2136,NA,NA
2004-03-04,1.2135,1.2243,1.2134,1.2181,NA,NA
2004-03-05,1.2181,1.2434,1.2171,1.2366,NA,NA
2004-03-08,1.2394,1.2403,1.2339,1.2357,NA,NA
2004-03-09,1.2357,1.2459,1.2345,1.243,NA,NA
2004-03-10,1.243,1.2451,1.2198,1.2247,NA,NA
2004-03-11,1.2247,1.2308,1.2164,1.2279,NA,NA
2004-03-12,1.2279,1.2387,1.2175,1.2215,NA,NA
2004-03-15,1.2239,1.2318,1.2186,1.2264,NA,NA
2004-03-16,1.2267,1.2373,1.2243,1.2272,NA,NA
2004-03-17,1.2273,1.2305,1.2178,1.2225,NA,NA
2004-03-18,1.2225,1.2435,1.2218,1.2387,NA,NA
2004-03-19,1.2389,1.2408,1.2257,1.229,NA,NA
2004-03-22,1.2292,1.2402,1.2224,1.2373,NA,NA
2004-03-23,1.2373,1.2388,1.2266,1.2345,NA,NA
2004-03-24,1.2345,1.2368,1.2163,1.2186,NA,NA
2004-03-25,1.2187,1.2201,1.2098,1.2183,NA,NA
2004-03-26,1.2184,1.2211,1.2073,1.2132,NA,NA
2004-03-29,1.2117,1.217,1.2047,1.2143,NA,NA
2004-03-30,1.2142,1.2228,1.2137,1.2203,NA,NA
2004-03-31,1.2203,1.2322,1.2165,1.2295,NA,NA
2004-04-01,1.2294,1.2389,1.2254,1.2358,NA,NA
2004-04-02,1.2359,1.2373,1.2108,1.2136,NA,NA
2004-04-05,1.2141,1.2141,1.1984,1.2011,NA,NA
2004-04-06,1.2011,1.2121,1.1985,1.2102,NA,NA
2004-04-07,1.2102,1.2198,1.2051,1.2188,NA,NA
2004-04-08,1.2187,1.222,1.2063,1.2073,NA,NA
2004-04-09,1.2072,1.2109,1.2066,1.2093,NA,NA
2004-04-12,1.2088,1.2104,1.2055,1.2068,NA,NA
2004-04-13,1.2069,1.2083,1.1906,1.1927,NA,NA
2004-04-14,1.1927,1.1959,1.1869,1.1941,NA,NA
2004-04-15,1.1941,1.1993,1.1894,1.195,NA,NA
2004-04-16,1.195,1.2047,1.1924,1.1993,NA,NA
2004-04-19,1.2001,1.208,1.2001,1.2021,NA,NA
2004-04-20,1.2022,1.2033,1.1881,1.1915,NA,NA
2004-04-21,1.1915,1.1938,1.1816,1.1864,NA,NA
2004-04-22,1.1863,1.1908,1.1781,1.1868,NA,NA
2004-04-23,1.1868,1.1944,1.1798,1.1843,NA,NA
2004-04-26,1.1838,1.188,1.1761,1.1856,NA,NA
2004-04-27,1.1856,1.1937,1.1834,1.1911,NA,NA
2004-04-28,1.1911,1.1956,1.1827,1.184,NA,NA
2004-04-29,1.1841,1.1981,1.1806,1.1931,NA,NA
2004-04-30,1.1931,1.2014,1.192,1.198,NA,NA
2004-05-03,1.1989,1.2001,1.1921,1.1931,NA,NA
2004-05-04,1.1932,1.2106,1.1921,1.2076,NA,NA
2004-05-05,1.2076,1.218,1.2055,1.2169,NA,NA
2004-05-06,1.217,1.2179,1.2063,1.2089,NA,NA
2004-05-07,1.2089,1.214,1.1877,1.1884,NA,NA
2004-05-10,1.1888,1.1895,1.1813,1.1845,NA,NA
2004-05-11,1.1846,1.1891,1.179,1.1835,NA,NA
2004-05-12,1.1836,1.1942,1.1834,1.1908,NA,NA
2004-05-13,1.1908,1.1929,1.1772,1.1817,NA,NA
2004-05-14,1.1818,1.1904,1.1781,1.1888,NA,NA
2004-05-17,1.1878,1.2063,1.1878,1.2028,NA,NA
2004-05-18,1.2028,1.2039,1.1947,1.1963,NA,NA
2004-05-19,1.1963,1.2045,1.1932,1.2028,NA,NA
2004-05-20,1.2028,1.2028,1.1895,1.1913,NA,NA
2004-05-21,1.1914,1.2072,1.1898,1.198,NA,NA
2004-05-24,1.2001,1.2016,1.1933,1.2015,NA,NA
2004-05-25,1.2015,1.2127,1.1987,1.2107,NA,NA
2004-05-26,1.2107,1.2145,1.2077,1.2106,NA,NA
2004-05-27,1.2106,1.2282,1.2089,1.226,NA,NA
2004-05-28,1.226,1.2297,1.2202,1.2223,NA,NA
2004-05-31,1.2224,1.2255,1.2181,1.2189,NA,NA
2004-06-01,1.2189,1.2266,1.2157,1.2239,NA,NA
2004-06-02,1.224,1.2307,1.2214,1.2222,NA,NA
2004-06-03,1.2222,1.2252,1.217,1.2199,NA,NA
2004-06-04,1.2199,1.2284,1.2138,1.2283,NA,NA
2004-06-07,1.2286,1.2339,1.2271,1.233,NA,NA
2004-06-08,1.233,1.2354,1.2246,1.2259,NA,NA
2004-06-09,1.2259,1.2274,1.2063,1.208,NA,NA
2004-06-10,1.208,1.2117,1.2023,1.2109,NA,NA
2004-06-11,1.211,1.2115,1.1967,1.2006,NA,NA
2004-06-14,1.2009,1.2087,1.1955,1.2063,NA,NA
2004-06-15,1.2063,1.2153,1.203,1.2145,NA,NA
2004-06-16,1.2146,1.2169,1.1981,1.2007,NA,NA
2004-06-17,1.2007,1.208,1.1994,1.2062,NA,NA
2004-06-18,1.2063,1.2138,1.1974,1.2137,NA,NA
2004-06-21,1.2143,1.2146,1.2077,1.2102,NA,NA
2004-06-22,1.2103,1.2131,1.2067,1.2093,NA,NA
2004-06-23,1.2093,1.2193,1.2065,1.2097,NA,NA
2004-06-24,1.2097,1.2189,1.2042,1.2176,NA,NA
2004-06-25,1.2176,1.2189,1.2109,1.2178,NA,NA
2004-06-28,1.2198,1.2229,1.2122,1.216,NA,NA
2004-06-29,1.216,1.2195,1.2107,1.2118,NA,NA
